Delay,Dimension,MeanRMSE,StdRMSE,DetailedRMSE
1,6,4.84294293229298,0,",,"
1,7,4.84294293229298,0,",,"
1,8,4.84294293229298,0,",,"
1,9,4.84294293229298,0,",,"
1,10,4.84294293229298,0,",,"
1,11,4.84294293229298,0,",,"
1,12,4.84294293229298,0,",,"
1,13,4.84294293229298,0,",,"
1,14,4.84294293229298,0,",,"
1,15,4.84294293229298,0,",,"
1,16,4.84294293229298,0,",,"
1,17,4.84294293229298,0,",,"
1,18,4.84294293229298,0,",,"
1,19,4.84294293229298,0,",,"
1,20,4.84294293229298,0,",,"
2,6,4.84294293229298,0,",,"
2,7,4.84294293229298,0,",,"
2,8,4.84294293229298,0,",,"
2,9,4.84294293229298,0,",,"
2,10,4.84294293229298,0,",,"
2,11,4.84294293229298,0,",,"
2,12,4.84294293229298,0,",,"
2,13,4.84294293229298,0,",,"
2,14,4.84294293229298,0,",,"
2,15,4.84294293229298,0,",,"
2,16,4.84294293229298,0,",,"
2,17,4.84294293229298,0,",,"
2,18,4.84294293229298,0,",,"
2,19,4.84294293229298,0,",,"
2,20,4.84294293229298,0,",,"
3,6,4.84294293229298,0,",,"
3,7,4.84294293229298,0,",,"
3,8,4.84294293229298,0,",,"
3,9,4.84294293229298,0,",,"
3,10,4.84294293229298,0,",,"
3,11,4.84294293229298,0,",,"
3,12,4.84294293229298,0,",,"
3,13,4.84294293229298,0,",,"
3,14,4.84294293229298,0,",,"
3,15,4.84294293229298,0,",,"
3,16,4.84294293229298,0,",,"
3,17,4.84294293229298,0,",,"
3,18,4.84294293229298,0,",,"
3,19,4.84294293229298,0,",,"
3,20,4.84294293229298,0,",,"
4,6,4.84294293229298,0,",,"
4,7,4.84294293229298,0,",,"
4,8,4.84294293229298,0,",,"
4,9,4.84294293229298,0,",,"
4,10,4.84294293229298,0,",,"
4,11,4.84294293229298,0,",,"
4,12,4.84294293229298,0,",,"
4,13,4.84294293229298,0,",,"
4,14,4.84294293229298,0,",,"
4,15,4.84294293229298,0,",,"
4,16,4.84294293229298,0,",,"
4,17,4.84294293229298,0,",,"
4,18,4.84294293229298,0,",,"
4,19,4.84294293229298,0,",,"
4,20,4.84294293229298,0,",,"
5,6,4.84294293229298,0,",,"
5,7,4.84294293229298,0,",,"
5,8,4.84294293229298,0,",,"
5,9,4.84294293229298,0,",,"
5,10,4.84294293229298,0,",,"
5,11,4.84294293229298,0,",,"
5,12,4.84294293229298,0,",,"
5,13,4.84294293229298,0,",,"
5,14,4.84294293229298,0,",,"
5,15,4.84294293229298,0,",,"
5,16,4.84294293229298,0,",,"
5,17,4.84294293229298,0,",,"
5,18,4.84294293229298,0,",,"
5,19,4.84294293229298,0,",,"
5,20,4.84294293229298,0,",,"
6,6,4.84294293229298,0,",,"
6,7,4.84294293229298,0,",,"
6,8,4.84294293229298,0,",,"
6,9,4.84294293229298,0,",,"
6,10,4.84294293229298,0,",,"
6,11,4.84294293229298,0,",,"
6,12,4.84294293229298,0,",,"
6,13,4.84294293229298,0,",,"
6,14,4.84294293229298,0,",,"
6,15,4.84294293229298,0,",,"
6,16,4.84294293229298,0,",,"
6,17,4.84294293229298,0,",,"
6,18,4.84294293229298,0,",,"
6,19,4.84294293229298,0,",,"
6,20,4.84294293229298,0,",,"
7,6,4.84294293229298,0,",,"
7,7,4.84294293229298,0,",,"
7,8,4.84294293229298,0,",,"
7,9,4.84294293229298,0,",,"
7,10,4.84294293229298,0,",,"
7,11,4.84294293229298,0,",,"
7,12,4.84294293229298,0,",,"
7,13,4.84294293229298,0,",,"
7,14,4.84294293229298,0,",,"
7,15,4.84294293229298,0,",,"
7,16,4.84294293229298,0,",,"
7,17,4.84294293229298,0,",,"
7,18,4.84294293229298,0,",,"
7,19,4.84294293229298,0,",,"
7,20,4.84294293229298,0,",,"
8,6,4.84294293229298,0,",,"
8,7,4.84294293229298,0,",,"
8,8,4.84294293229298,0,",,"
8,9,4.84294293229298,0,",,"
8,10,4.84294293229298,0,",,"
8,11,4.84294293229298,0,",,"
8,12,4.84294293229298,0,",,"
8,13,4.84294293229298,0,",,"
8,14,4.84294293229298,0,",,"
8,15,4.84294293229298,0,",,"
8,16,4.84294293229298,0,",,"
8,17,4.84294293229298,0,",,"
8,18,4.84294293229298,0,",,"
8,19,4.84294293229298,0,",,"
8,20,4.84294293229298,0,",,"
9,6,4.84294293229298,0,",,"
9,7,4.84294293229298,0,",,"
9,8,4.84294293229298,0,",,"
9,9,4.84294293229298,0,",,"
9,10,4.84294293229298,0,",,"
9,11,4.84294293229298,0,",,"
9,12,4.84294293229298,0,",,"
9,13,4.84294293229298,0,",,"
9,14,4.84294293229298,0,",,"
9,15,4.84294293229298,0,",,"
9,16,4.84294293229298,0,",,"
9,17,4.84294293229298,0,",,"
9,18,4.84294293229298,0,",,"
9,19,4.84294293229298,0,",,"
9,20,4.84294293229298,0,",,"
10,6,4.84294293229298,0,",,"
10,7,4.84294293229298,0,",,"
10,8,4.84294293229298,0,",,"
10,9,4.84294293229298,0,",,"
10,10,4.84294293229298,0,",,"
10,11,4.84294293229298,0,",,"
10,12,4.84294293229298,0,",,"
10,13,4.84294293229298,0,",,"
10,14,4.84294293229298,0,",,"
10,15,4.84294293229298,0,",,"
10,16,4.84294293229298,0,",,"
10,17,4.84294293229298,0,",,"
10,18,4.84294293229298,0,",,"
10,19,4.84294293229298,0,",,"
10,20,4.84294293229298,0,",,"
