delay,dimension,test_rmse,mean_rmse,std_rmse
2,6,",,,,,,,,,,,",12.3232625509432,2.88952420191385
3,6,",,,,,,,,,,,",12.0833021662015,2.73952551027483
2,7,",,,,,,,,,,,",11.7468793368772,2.94324194725758
2,8,",,,,,,,,,,,",11.6357482589029,2.86718788065242
4,6,",,,,,,,,,,,",11.6035944471946,2.25010011552133
5,6,",,,,,,,,,,,",11.1735407870951,2.07023332427729
3,7,",,,,,,,,,,,",10.7915810007417,2.54024229161889
1,6,",,,,,,,,,,,",10.78803806775,2.77825598765631
6,6,",,,,,,,,,,,",10.7556869943836,1.98901341206454
9,6,",,,,,,,,,,,",10.6092346580011,2.2667136676603
10,6,",,,,,,,,,,,",10.5758353655912,2.42877361186333
3,8,",,,,,,,,,,,",10.554484691148,2.33881109522288
7,6,",,,,,,,,,,,",10.379544903057,1.9189021602089
8,6,",,,,,,,,,,,",10.1959659390513,1.9139488634597
4,7,",,,,,,,,,,,",10.0945653453421,2.00327319645442
4,8,",,,,,,,,,,,",9.90717094333714,1.90488598417665
5,7,",,,,,,,,,,,",9.60509819192862,1.79844932773449
9,7,",,,,,,,,,,,",9.45168224938419,2.02485346661825
5,8,",,,,,,,,,,,",9.43752044915791,1.74696721785133
9,8,",,,,,,,,,,,",9.3316301104405,1.96523846840297
1,7,",,,,,,,,,,,",9.26305426665928,2.15685946147352
10,7,",,,,,,,,,,,",9.11361293924008,2.11730197078495
6,7,",,,,,,,,,,,",9.10742870869724,1.68600952630244
1,8,",,,,,,,,,,,",9.09748262417964,2.01890208209634
6,8,",,,,,,,,,,,",8.94162468170392,1.65945569877875
10,8,",,,,,,,,,,,",8.89504534064575,1.94544397209343
7,7,",,,,,,,,,,,",8.77300768265104,1.62125129991915
8,7,",,,,,,,,,,,",8.7166895876752,1.61397376043915
7,8,",,,,,,,,,,,",8.5988752066603,1.59555562362576
8,8,",,,,,,,,,,,",8.53356201261709,1.56856193006804
2,10,",,,,,,,,,,,",4.76651755044819,1.32703349626533
2,9,",,,,,,,,,,,",4.7593810587656,1.27870273181065
2,11,",,,,,,,,,,,",4.6518872529554,1.23875636431531
2,14,",,,,,,,,,,,",4.60942907968267,1.39842224040626
2,15,",,,,,,,,,,,",4.56478214611998,1.37276435855436
2,12,",,,,,,,,,,,",4.5643580181166,1.20853840346493
2,16,",,,,,,,,,,,",4.55014280455327,1.33693160746756
2,13,",,,,,,,,,,,",4.51881887868135,1.24691826508853
2,17,",,,,,,,,,,,",4.41836260138008,1.32449849989468
3,10,",,,,,,,,,,,",4.35559210300801,1.10371570849485
3,9,",,,,,,,,,,,",4.3279795497024,1.03423461785116
3,11,",,,,,,,,,,,",4.28879785774677,1.10449167089875
9,9,",,,,,,,,,,,",4.28089282309687,1.13929591656141
9,10,",,,,,,,,,,,",4.27996991803819,1.17300504834417
2,18,",,,,,,,,,,,",4.27721977458666,1.09807884610867
3,12,",,,,,,,,,,,",4.24566856784835,1.07458787461007
1,21,",,,,,,,,,,,",4.24229848629039,1.22592765272785
4,10,",,,,,,,,,,,",4.22629536607058,1.11718275157708
2,21,",,,,,,,,,,,",4.21367392317963,1.06559698935249
2,22,",,,,,,,,,,,",4.20865350895868,1.05831000504689
9,11,",,,,,,,,,,,",4.20642187422436,1.17491323590981
4,9,",,,,,,,,,,,",4.20157096397937,1.06210274519415
10,9,",,,,,,,,,,,",4.20133896954146,1.10700750220804
10,10,",,,,,,,,,,,",4.19664726480904,1.13776655842165
2,19,",,,,,,,,,,,",4.19262527875794,1.0591217309606
1,12,",,,,,,,,,,,",4.18609086765395,1.48264146272908
1,22,",,,,,,,,,,,",4.17780601441018,1.14972900344921
9,12,",,,,,,,,,,,",4.17654030976395,1.16140313176775
4,11,",,,,,,,,,,,",4.17304569670543,1.13961888623308
2,20,",,,,,,,,,,,",4.16003362565663,1.02483205175324
3,13,",,,,,,,,,,,",4.1589794521747,1.0953923140062
3,14,",,,,,,,,,,,",4.15891857731831,1.16856600666841
5,10,",,,,,,,,,,,",4.15834271152194,1.17899872685742
3,15,",,,,,,,,,,,",4.15420862866638,1.16793021881531
1,24,",,,,,,,,,,,",4.1526553655139,1.20238146025956
3,16,",,,,,,,,,,,",4.14956939578688,1.15886096127786
1,9,",,,,,,,,,,,",4.14851169178276,1.38224015514619
4,12,",,,,,,,,,,,",4.14603877172475,1.11943157819472
5,9,",,,,,,,,,,,",4.14296539267342,1.14160280879382
10,11,",,,,,,,,,,,",4.13633371996723,1.15799441176533
1,10,",,,,,,,,,,,",4.13429479446641,1.39858552151274
1,23,",,,,,,,,,,,",4.13399201794335,1.19267854119501
8,9,",,,,,,,,,,,",4.12812478402376,1.17050021611282
6,9,",,,,,,,,,,,",4.123209198198,1.21232672651656
6,10,",,,,,,,,,,,",4.12085757129961,1.23207887850417
1,11,",,,,,,,,,,,",4.11662540913789,1.4049815100109
8,10,",,,,,,,,,,,",4.11586219523734,1.18534236904352
1,14,",,,,,,,,,,,",4.1151911058058,1.47004679749756
1,16,",,,,,,,,,,,",4.11412683640198,1.5457129289525
9,13,",,,,,,,,,,,",4.11316457082116,1.21592884989963
