delay,dimension,test_rmse,mean_rmse,std_rmse
1,6,",,,,,,,,,,,",12.0650315389962,1.89675305251611
1,7,",,,,,,,,,,,",11.9993268121389,1.93177785298626
2,6,",,,,,,,,,,,",11.8606784385308,1.93027171358704
2,7,",,,,,,,,,,,",11.7933291261952,1.96780338541053
3,6,",,,,,,,,,,,",11.7718233252987,1.97125982563329
3,7,",,,,,,,,,,,",11.7061737904585,2.00882060155481
4,6,",,,,,,,,,,,",11.6757606078251,2.0287883578568
4,7,",,,,,,,,,,,",11.6110632146287,2.06559527447359
5,6,",,,,,,,,,,,",11.5818543038169,2.10129028407749
5,7,",,,,,,,,,,,",11.5216321153942,2.13411390250755
6,6,",,,,,,,,,,,",11.4831851608304,2.17187652191063
6,7,",,,,,,,,,,,",11.4273934328585,2.20071175281584
7,6,",,,,,,,,,,,",11.4205431720903,2.22808850357775
8,6,",,,,,,,,,,,",11.4109216484824,2.25176343225176
10,6,",,,,,,,,,,,",11.4043912592748,2.25446876034533
9,6,",,,,,,,,,,,",11.4010089472899,2.25691505023668
7,7,",,,,,,,,,,,",11.3686854182812,2.25377345919297
8,7,",,,,,,,,,,,",11.3602326288102,2.27594081455885
10,7,",,,,,,,,,,,",11.3557895806519,2.27644786537027
9,7,",,,,,,,,,,,",11.3511859116278,2.28051232216455
1,28,",,,,,,,,,,,",6.24393712682564,1.07745850429239
1,29,",,,,,,,,,,,",6.24379166703546,1.07808678422452
1,30,",,,,,,,,,,,",6.21811467504077,1.06479205906199
2,29,",,,,,,,,,,,",6.11360432043818,1.10852712553826
2,28,",,,,,,,,,,,",6.10995698091997,1.10619287768929
2,30,",,,,,,,,,,,",6.08318338033594,1.09467426867583
1,26,",,,,,,,,,,,",5.93645927174909,1.03687021669252
3,29,",,,,,,,,,,,",5.93251122681996,1.14579262842834
3,28,",,,,,,,,,,,",5.93043305362757,1.14378303027836
3,30,",,,,,,,,,,,",5.90000682535559,1.13479386199478
1,11,",,,,,,,,,,,",5.81084979040747,1.19291311953125
4,29,",,,,,,,,,,,",5.80525198757619,1.16618630167735
4,28,",,,,,,,,,,,",5.8025535302623,1.1631384748999
1,27,",,,,,,,,,,,",5.78370202201343,1.07118721579716
4,30,",,,,,,,,,,,",5.77664321475011,1.15907003023977
1,25,",,,,,,,,,,,",5.73377668329649,1.12311147364058
1,24,",,,,,,,,,,,",5.72848618991183,1.11609201465724
2,26,",,,,,,,,,,,",5.72804924883194,1.08011187170479
1,12,",,,,,,,,,,,",5.7227318202998,1.18784491031771
1,8,",,,,,,,,,,,",5.71718247439588,1.23938614370365
1,9,",,,,,,,,,,,",5.70485645428114,1.22726887341334
1,10,",,,,,,,,,,,",5.70205917046902,1.24166551074614
5,29,",,,,,,,,,,,",5.69120310253006,1.18146969396453
5,28,",,,,,,,,,,,",5.6876968703035,1.17833065447391
